height,period,angle_from_north
2.8,9.45,4.24115008
2.5,9.15,4.85201532
2.5,9.3,4.69493569
2.2,9.15,5.02654825
2,8.7,4.85201532
1.6,8.7,4.48549618
1.7,8.25,4.69493569
1.8,7.95,4.72984227
1.8,8.25,4.69493569
1.7,8.1,4.74729557
1.9,8.1,4.74729557
1.9,8.1,4.81710874
2,8.7,4.95673508
2.2,8.7,4.92182849
2.3,8.25,5.04400154
2,8.4,5.131268
2.2,8.7,4.88692191
2,9.3,4.83456203
2.1,9.75,4.69493569
2.1,9.15,4.6600291
1.8,9.15,4.92182849
1.7,8.7,4.92182849
1.6,8.55,5.02654825
1.5,8.4,5.27089434
1.6,8.4,5.41052068
1.8,8.85,5.28834763
1.8,9.15,5.14872129
1.6,9.3,5.25344105
1.6,9,5.42797397
1.5,8.55,5.48033385
1.6,9,5.48033385
1.6,9,5.3756141
1.8,9.45,5.04400154
1.7,9.15,5.00909495
1.6,8.7,4.9043752
1.5,8.55,4.93928178
1.4,8.4,5.09636142
1.4,8.55,5.06145483
1.5,9.6,5.06145483
1.4,9.6,5.00909495
1.3,9.3,5.06145483
1.3,9.6,5.16617459
1.4,10.35,4.74729557
1.1,9.3,4.97418837
1.1,9.45,5.00909495
1.1,9.75,4.74729557
1.2,10.65,4.64257581
1.1,9.9,4.72984227
1.2,9.9,4.79965544
1.1,9.15,4.79965544
1,9.15,5.00909495
1,8.7,5.20108117
1.1,9.3,4.95673508
1.1,9.75,5.06145483
1.1,9.45,4.93928178
0.9,8.4,4.72984227
0.9,8.55,4.64257581
1.1,9.75,4.11897703
1,9.6,4.11897703
1,8.4,3.9618974
1,8.85,3.40339204
1,8.25,3.4906585
1.1,8.1,3.43829863
1.2,7.95,3.82227106
1.3,8.25,3.82227106
1.2,7.35,3.83972435
1.3,8.1,3.43829863
1.5,7.8,3.4906585
1.5,7.5,3.52556509
1.4,6.75,3.76991118
1.5,7.2,3.75245789
1.6,7.05,3.7350046
1.5,7.5,3.64773814
1.5,7.2,3.56047167
1.4,7.05,3.92699082
1.4,7.35,3.9618974
1,7.5,3.66519143
1.1,7.8,4.01425728
1,7.65,3.94444411
1,7.2,4.03171057
0.9,6.75,3.89208423
0.9,6.3,3.5081118
1,6,3.63028484
1.2,6.3,3.59537826
1.2,6.6,3.64773814
1.1,6.15,3.70009801
1.2,6.6,3.52556509
1.3,6.9,3.38593875
1.4,6.75,3.57792497
1.3,6.75,3.89208423
1.2,6.45,4.15388362
1.1,6.45,4.1887902
1.1,6.6,4.31096325
1.2,7.2,4.31096325
1.1,7.2,4.45058959
1.3,7.65,4.38077642
1.4,8.7,4.32841654
1.5,10.2,4.4331363
1.6,10.05,4.53785606
1.6,10.5,4.79965544
1.6,10.65,5.20108117
2,12.15,5.58505361
1.9,10.8,5.91666616
1.7,10.05,6.21337214
2,9.9,6.23082543
1.9,9,6.02138592
2,8.25,6.03883921
1.9,8.7,5.72467995
1.8,8.25,5.32325422
1.8,8.1,5.02654825
1.7,7.8,4.83456203
1.6,7.65,4.59021593
1.5,7.05,4.50294947
1.8,7.35,4.86946861
2,7.65,5.11381471
2.2,8.4,5.18362788
2.2,9,4.92182849
2,9,4.48549618
2.3,9.75,4.34586984
2.4,9.75,4.04916386
2.7,10.2,4.10152374
3,10.8,3.97935069
2.6,9.6,4.08407045
2.3,8.7,4.1887902
2.9,8.85,4.34586984
3.1,9.3,4.39822972
2.7,8.85,4.39822972
2.6,8.85,4.4331363
2.4,9,4.52040276
2.2,8.55,4.53785606
2.5,9.3,4.72984227
2.3,8.85,4.6600291
1.8,8.25,4.6600291
2,8.7,4.59021593
1.8,8.1,4.55530935
1.6,7.8,4.45058959
1.5,7.95,4.39822972
1.4,7.8,4.50294947
1.4,7.65,4.45058959
1.3,7.5,4.55530935
1.2,7.8,4.46804289
1.3,8.1,4.39822972
1.3,8.1,4.45058959
1.2,8.55,4.39822972
1.2,7.65,4.46804289
1.1,7.65,4.50294947
1.1,7.65,4.69493569
0.9,7.95,4.41568301
0.8,8.1,4.13643033
0.8,7.8,4.01425728
0.7,7.5,4.1887902
0.7,7.65,4.36332313
0.7,7.65,4.6600291
0.6,7.8,4.11897703
0.6,7.35,4.10152374
0.6,7.95,4.64257581
0.6,8.25,5.16617459
0.6,8.85,5.48033385
0.6,8.85,5.72467995
0.6,8.7,5.84685299
0.6,9.3,6.21337214
0.6,9.15,0.05235988
0.5,9.45,0.48869219
0.5,9.6,0.64577182
0.6,11.4,0.78539816
0.5,10.5,1.15191731
0.6,10.35,0.76794487
0.5,9.6,0.36651914
0.5,10.2,0.15707963
0.5,8.1,0.06981317
0.6,7.95,0.12217305
0.6,7.35,0.12217305
0.5,6.9,0.15707963
0.5,6.3,0.20943951
